,dBAS,timestamp,PM25,PM10
0,43.42,2018-04-20 10:30:11.570,240,19
1,44.01,2018-04-20 10:31:22.460,319,32
2,44.54,2018-04-20 10:32:33.340,311,43
3,42.51,2018-04-20 10:33:44.230,349,47
4,54.56,2018-04-20 10:34:55.110,304,36
5,43.04,2018-04-20 10:36:05.990,275,36
6,43.21,2018-04-20 10:37:16.880,305,35
7,43.6,2018-04-20 10:38:27.760,298,38
8,42.75,2018-04-20 10:39:38.650,267,24
9,44.47,2018-04-20 10:40:49.530,319,37
10,43.37,2018-04-20 10:42:00.420,379,52
11,48.72,2018-04-20 10:43:11.300,312,34
12,43.7,2018-04-20 10:44:22.180,281,33
13,44.67,2018-04-20 10:45:33.070,311,34
14,45.33,2018-04-20 10:46:43.950,291,28
15,43.78,2018-04-20 10:47:54.840,367,37
16,43.52,2018-04-20 10:49:05.720,299,37
17,45.38,2018-04-20 10:50:16.600,345,44
18,43.34,2018-04-20 10:51:27.490,310,34
19,45.92,2018-04-20 10:52:38.370,320,30
20,46.83,2018-04-20 10:53:49.250,422,50
21,44.47,2018-04-20 10:55:00.140,414,48
22,43.59,2018-04-20 10:56:11.020,299,28
23,44.1,2018-04-20 10:57:21.900,366,41
24,53.49,2018-04-20 10:58:32.790,283,25
25,42.99,2018-04-20 10:59:43.670,306,42
26,47.4,2018-04-20 11:00:54.550,278,25
27,44.16,2018-04-20 11:02:05.440,248,22
28,43.64,2018-04-20 11:03:16.320,256,29
29,46.53,2018-04-20 11:04:27.210,264,30
30,47.12,2018-04-20 11:05:38.090,278,35
31,43.59,2018-04-20 11:06:48.970,302,51
32,46.49,2018-04-20 11:07:59.860,249,21
33,44.1,2018-04-20 11:09:10.740,277,28
34,44.39,2018-04-20 11:10:21.630,318,41
35,42.85,2018-04-20 11:11:32.510,266,25
36,44.73,2018-04-20 11:12:43.390,293,29
37,43.27,2018-04-20 11:13:54.280,314,31
38,42.82,2018-04-20 11:15:05.160,285,37
39,47.35,2018-04-20 11:16:16.050,277,36
40,46.1,2018-04-20 11:17:26.930,299,45
41,43.75,2018-04-20 11:18:37.810,251,28
42,44.74,2018-04-20 11:19:48.700,292,39
43,43.66,2018-04-20 11:20:59.580,334,54
44,44.99,2018-04-20 11:22:10.470,277,42
45,45.1,2018-04-20 11:23:21.350,311,44
46,45.74,2018-04-20 11:24:32.230,317,42
47,43.67,2018-04-20 11:25:43.120,401,66
48,50.61,2018-04-20 11:26:54.000,466,78
49,44.44,2018-04-20 11:28:04.880,532,67
50,46.34,2018-04-20 11:29:15.770,321,29
51,43.65,2018-04-20 11:30:26.650,374,38
52,43.94,2018-04-20 11:31:37.540,414,45
53,43.42,2018-04-20 11:32:48.420,296,39
54,43.26,2018-04-20 11:33:59.300,245,29
55,44.23,2018-04-20 11:35:10.190,295,31
56,43.87,2018-04-20 11:36:21.070,389,25
57,43.26,2018-04-20 11:37:31.960,198,14
58,43.51,2018-04-20 11:38:42.840,246,20
59,43.14,2018-04-20 11:39:53.730,293,32
60,43.33,2018-04-20 11:41:04.610,284,35
61,43.23,2018-04-20 11:42:15.490,290,42
62,51.6,2018-04-20 11:43:26.380,317,54
63,46.41,2018-04-20 11:44:37.260,262,33
64,43.86,2018-04-20 11:45:48.140,249,23
65,45.19,2018-04-20 11:46:59.030,254,24
66,43.14,2018-04-20 11:48:09.910,311,37
67,43.37,2018-04-20 11:49:20.800,283,36
68,43.05,2018-04-20 11:50:31.680,269,32
69,42.69,2018-04-20 11:51:42.560,237,21
70,43.88,2018-04-20 11:52:53.450,253,28
71,43.26,2018-04-20 11:54:04.330,281,36
72,42.77,2018-04-20 11:55:15.220,284,36
73,43.06,2018-04-20 11:56:26.100,263,33
74,44.04,2018-04-20 11:57:36.980,260,24
75,44.86,2018-04-20 11:58:47.870,219,17
76,43.35,2018-04-20 11:59:58.750,225,28
77,42.65,2018-04-20 12:01:09.640,257,33
78,43.12,2018-04-20 12:02:20.520,213,21
79,42.77,2018-04-20 12:03:31.400,252,29
80,42.38,2018-04-20 12:04:42.290,249,37
81,42.72,2018-04-20 12:05:53.170,291,42
82,43.35,2018-04-20 12:07:04.060,278,35
83,42.81,2018-04-20 12:08:14.940,235,29
84,42.79,2018-04-20 12:09:25.820,242,28
85,43.4,2018-04-20 12:10:36.710,267,30
86,48.81,2018-04-20 12:11:47.590,262,29
87,43.61,2018-04-20 12:12:58.480,232,22
88,44.1,2018-04-20 12:14:09.360,194,23
89,43.28,2018-04-20 12:15:20.240,262,38
90,45.03,2018-04-20 12:16:31.130,259,33
91,43.35,2018-04-20 12:17:42.010,215,18
92,43.85,2018-04-20 12:18:52.890,201,18
93,43.23,2018-04-20 12:20:03.780,192,17
94,43.7,2018-04-20 12:21:14.660,231,18
95,52.62,2018-04-20 12:22:25.550,241,20
96,67.84,2018-04-20 12:23:36.430,239,23
97,66.71,2018-04-20 12:24:47.310,344,73
98,44.56,2018-04-20 12:25:58.200,242,33
99,64.33,2018-04-20 12:27:09.080,250,31
100,55.24,2018-04-20 12:28:19.970,255,34
101,56.9,2018-04-20 12:29:30.850,436,88
102,50.19,2018-04-20 12:30:41.730,505,125
103,54.06,2018-04-20 12:31:52.620,263,36
104,70.72,2018-04-20 12:33:03.500,263,33
105,43.15,2018-04-20 12:34:14.390,249,32
106,51.14,2018-04-20 12:35:25.270,550,71
107,63.48,2018-04-20 12:36:36.150,529,67
108,61.54,2018-04-20 12:37:47.040,255,38
109,72.2,2018-04-20 12:38:57.920,260,36
110,43.36,2018-04-20 12:40:08.810,257,33
111,52.09,2018-04-20 12:41:19.690,289,40
112,43.53,2018-04-20 12:42:30.570,237,26
113,43.11,2018-04-20 12:43:41.460,266,38
114,44.3,2018-04-20 12:44:52.340,302,51
115,43.19,2018-04-20 12:46:03.230,273,36
116,43.36,2018-04-20 12:47:14.110,220,23
117,43.01,2018-04-20 12:48:24.990,211,28
118,43.5,2018-04-20 12:49:35.880,191,19
119,45.91,2018-04-20 12:50:46.760,203,21
120,43.96,2018-04-20 12:51:57.650,231,31
121,46.7,2018-04-20 12:53:08.530,409,87
122,44.0,2018-04-20 12:54:19.410,455,93
123,45.98,2018-04-20 12:55:30.300,270,44
124,43.09,2018-04-20 12:56:41.180,233,35
125,43.75,2018-04-20 12:57:52.070,333,29
126,43.93,2018-04-20 12:59:02.950,208,19
127,43.18,2018-04-20 13:00:13.830,160,12
128,45.23,2018-04-20 13:01:24.720,166,15
129,43.64,2018-04-20 13:02:35.600,225,28
130,43.57,2018-04-20 13:03:46.490,259,43
131,44.42,2018-04-20 13:04:57.370,217,31
132,43.57,2018-04-20 13:06:08.250,203,25
133,46.47,2018-04-20 13:07:19.140,219,23
134,43.89,2018-04-20 13:08:30.020,208,18
135,43.93,2018-04-20 13:09:40.910,254,24
136,43.17,2018-04-20 13:10:51.790,260,38
137,43.42,2018-04-20 13:12:02.670,249,29
138,43.48,2018-04-20 13:13:13.560,251,47
139,44.05,2018-04-20 13:14:24.440,201,24
140,43.45,2018-04-20 13:15:35.330,167,17
141,43.92,2018-04-20 13:16:46.210,263,33
142,43.19,2018-04-20 13:17:57.090,290,37
143,45.85,2018-04-20 13:19:07.980,229,27
144,43.24,2018-04-20 13:20:18.860,210,21
145,43.76,2018-04-20 13:21:29.750,158,16
146,43.63,2018-04-20 13:22:40.630,180,16
147,43.25,2018-04-20 13:23:51.510,211,21
148,43.29,2018-04-20 13:25:02.400,233,23
149,43.19,2018-04-20 13:26:13.280,206,18
150,44.25,2018-04-20 13:27:24.170,202,24
151,43.8,2018-04-20 13:28:35.050,178,19
152,43.19,2018-04-20 13:29:45.930,208,32
153,45.39,2018-04-20 13:30:56.820,296,33
154,43.47,2018-04-20 13:32:07.700,310,36
155,46.89,2018-04-20 13:33:18.590,329,54
156,43.35,2018-04-20 13:34:29.470,289,38
157,44.19,2018-04-20 13:35:40.350,281,33
158,42.88,2018-04-20 13:36:51.240,247,26
159,43.48,2018-04-20 13:38:02.120,255,31
160,44.32,2018-04-20 13:39:13.010,320,49
161,51.13,2018-04-20 13:40:23.890,240,29
162,52.25,2018-04-20 13:41:34.770,214,22
163,50.65,2018-04-20 13:42:45.660,297,44
164,43.24,2018-04-20 13:43:56.540,233,26
165,43.08,2018-04-20 13:45:07.430,285,42
166,43.66,2018-04-20 13:46:18.310,251,28
167,44.03,2018-04-20 13:47:29.190,227,27
168,45.77,2018-04-20 13:48:40.080,528,51
169,42.73,2018-04-20 13:49:50.960,563,50
170,44.54,2018-04-20 13:51:01.840,273,24
171,43.4,2018-04-20 13:52:12.730,1134,84
172,44.22,2018-04-20 13:53:23.610,368,38
173,42.78,2018-04-20 13:54:34.500,257,59
174,64.63,2018-04-20 13:55:45.380,246,49
175,66.77,2018-04-20 13:56:56.260,267,50
176,64.28,2018-04-20 13:58:07.150,267,37
177,43.26,2018-04-20 13:59:18.030,210,25
178,44.23,2018-04-20 14:00:28.920,192,32
179,43.98,2018-04-20 14:01:39.800,198,27
180,52.03,2018-04-20 14:02:50.680,180,23
181,43.23,2018-04-20 14:04:01.570,184,27
182,44.47,2018-04-20 14:05:12.450,190,24
183,43.0,2018-04-20 14:06:23.340,196,24
184,44.59,2018-04-20 14:07:34.220,245,30
185,43.36,2018-04-20 14:08:45.100,293,56
186,44.19,2018-04-20 14:09:55.990,256,39
187,44.52,2018-04-20 14:11:06.870,260,36
188,42.83,2018-04-20 14:12:17.760,278,50
189,43.62,2018-04-20 14:13:28.640,289,59
190,43.03,2018-04-20 14:14:39.520,267,49
191,43.6,2018-04-20 14:15:50.410,205,24
192,43.12,2018-04-20 14:17:01.290,264,48
193,43.63,2018-04-20 14:18:12.180,204,34
194,42.84,2018-04-20 14:19:23.060,318,64
195,43.72,2018-04-20 14:20:33.940,248,44
196,44.71,2018-04-20 14:21:44.830,262,39
197,43.43,2018-04-20 14:22:55.710,374,78
198,49.75,2018-04-20 14:24:06.600,299,56
199,42.77,2018-04-20 14:25:17.480,314,51
200,55.52,2018-04-20 14:26:28.360,234,47
201,43.5,2018-04-20 14:27:39.250,295,62
202,43.62,2018-04-20 14:28:50.130,334,85
203,43.07,2018-04-20 14:30:01.020,245,46
204,55.69,2018-04-20 14:31:11.900,228,18
205,44.81,2018-04-20 14:32:22.780,321,52
206,42.73,2018-04-20 14:33:33.670,212,25
207,44.36,2018-04-20 14:34:44.550,253,30
208,43.26,2018-04-20 14:35:55.440,288,40
209,43.44,2018-04-20 14:37:06.320,306,42
210,44.97,2018-04-20 14:38:17.200,236,29
211,43.62,2018-04-20 14:39:28.090,246,23
